question1,question1_senti,question2,question2_senti,diff_senti,Corelation_API,Corelation_tfidf,is_duplicate
Is it normal to have a dark ring around the iris of my eye?,0.195451072,What causes a dark ring around the iris? How should it be treated?,0.204987548,0.009536476,0.788163454,0.744866936,0
How is the new Harry Potter book 'Harry Potter and the Cursed Child'?,0.12735737,How bad is the new book by J.K Rowling?,0.074892176,0.052465194,0.706188721,0.144534414,1
Why do I always get depressed?,0.029062549,Why do I always get depressed in the evening?,0.008581429,0.02048112,0.949884877,0.856199402,0
Where can I find a European family office database?,0.5,Where do I find a U.S. family office database?,0.5,0,0.944801368,0.8475668,0
What is Java programming? How To Learn Java Programming Language ?,0.745829932,How do I learn a computer language like java?,0.765466743,0.019636811,0.933740602,0.614173641,1
What is the best book ever made?,0.950394792,What is the most important book you have ever read?,0.884959009,0.065435783,0.915578058,0.480980346,1
Can we ever store energy produced in lightning?,0.827718026,Is it possible to store the energy of lightning?,0.828029025,0.000310999,0.897829043,0.748311147,1
What is your review of Performance Testing?,0.5,What is performance testing?,0.5,0,0.878065741,0.822623909,0
At what cost does so much privacy as in Germany come? What else is lost to gain so much privacy?,0.057470509,Are there any people who genuinely enjoy salad with no dressing?,0.938316262,0.880845753,0.640267807,0,0
What are the types of immunity?,0.5,What are the different types of immunity in our body?,0.5,0,0.913319606,0.823508658,0
What is a narcissistic personality disorder?,0.5,What is narcissistic personality disorder?,0.5,0,0.999735039,1,1
How I can speak English fluently?,0.5,How can I learn to speak English fluently?,0.5,0,0.982400338,0.932375236,1
How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?,0.97791541,What is the quickbooks customer support phone number USA?,0.967709416,0.010205994,0.724025176,0.413645135,1
Who is the richest gambler of all time and how can I reach his level?,0.978685713,Who is the richest gambler of all time and how can I reach his level as a gambler?,0.977713558,0.000972155,0.974867156,0.943050435,1
If I fire a bullet backward from an aircraft going faster than the bullet; will the bullet be going backwards?,0.148340375,"Do bullets travel faster than the speed of sound when shot from a gun? If not, is it possible? If they do, what gun and how much devastation occurs?",0.048037378,0.100302997,0.776606271,0.271434188,0
How do I prevent breast cancer?,0.257362171,Is breast cancer preventable?,0.120591679,0.136770492,0.71086059,1,0
How do I log out of my Gmail account on my friend's phone?,0.5,How can I know who logged in to my Gmail account? (by telling his IP address or device name)?,0.5,0,0.867392934,0.475287868,0
How can I make money through the Internet?,0.5,"What are some different ways to make money online, excluding selling things?",0.5,0,0.90379467,0.271843916,0
What is purpose of life?,0.5,What's the purpose of life? What is life actually about?,0.5,0,0.955826478,0.824298218,1
When will the BJP government strip all the Muslims and the Christians of the Indian citizenship and put them on boats like the Rohingya's of Burma?,0.5,"Why India does not apply the ""Burma-Rohingya model"" to deport illegal Bangladeshis?",0.048895488,0.451104512,0.705481582,0.352535793,0
What is the right etiquette for wishing a Jehovah Witness happy birthday?,0.977536099,How important is it to be the first person to wish someone a happy birthday?,0.993254375,0.015718276,0.814224073,0.440764817,0
"If someone wants to open a commercial FM radio station in any city of India, how much does it cost and what is the procedure?",0.5,"I want to make a travel commercial/clip video HD , For India and New Zealand. How much will it cost?",0.246105425,0.253894575,0.775881816,0.306230316,0
Why do Swiss despise Asians?,0.035715963,Why do technical employees despise sales people so much?,0.071806223,0.03609026,0.713265191,0.402564957,0
What are some of the high salary income jobs in the field of biotechnology?,0.5,What are some high paying jobs for a fresher with an M.Tech in biotechnology?,0.908534867,0.408534867,0.789205041,0.493988583,1
How can I increase my height after 21 also?,0.837174858,Can height increase after 25?,0.5,0.337174858,0.721445233,0.518953675,1
"What were the major effects of the cambodia earthquake, and how do these effects compare to the Kamchatca earthquakes in 1952?",0.5,"What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?",0.5,0,0.948707662,0.675764286,1
What is the difference between sincerity and fairness?,0.5,What's the difference between honest and sincere?,0.879407902,0.379407902,0.80762389,0.632859313,0
Which is the best gaming laptop under 60k INR?,0.906287366,Which is the best gaming laptop under Rs 60000?,0.927831341,0.021543975,0.826959537,0.392467845,1
What is your review of The Next Warrior: Proving Grounds - Part 9?,0.891227147,What is your review of The Next Warrior: Proving Grounds - Part 5?,0.891227147,0,1,1,0
What is the best reference book for physics class 11th?,0.917012147,"Which book should I choose for reference for physics and chemistry (class 11, CBSE board)?",0.5,0.417012147,0.800364448,0.495157895,0
"National Institute of Technology, Kurukshetra: How is the social life at NITK, Surathkal?",0.5,"National Institute of Technology Karnataka (NITK) , Surathkal: To the graduating batch: What lessons would you want to give to your juniors before you leave?",0.5,0,0.647747517,0.552836394,0
What are some of the best romantic movies in English?,0.995726433,What is the best romantic movie you have ever seen?,0.981585959,0.014140474,0.890936882,0.669581593,1
What causes a nightmare?,0.170490478,What causes nightmares that seem real?,0.5,0.329509522,0.840428436,0.76910983,1
What is abstract expressionism in painting?,0.5,What are some of the major influences of abstract expressionism?,0.5,0,0.778181325,0.651173132,0
How does 3D printing work?,0.5,How do 3D printing work?,0.228633604,0.271366396,0.968439303,1,1
What was it like to attend Caltech with Jeremy Ehrhardt?,0.5,Who are some notable folks who attended Caltech?,0.5,0,0.697092867,0.397660353,0
Why did harry become a horcrux?,0.5,What is a Horcrux?,0.5,0,0.686084491,0.738156583,0
What are the best associate product manager (APM) programs that someone in their early 20s can join to learn product management and have a rewarding career in the company?,0.992036795,What are the general requirement to become a Product Manager or a Program Manager in a product based software company?,0.5,0.492036795,0.826598121,0.498847383,0
Why is the number for Skype at 1-855-425-3768 always busy?,0.787052717,How could I get Skype to work on an android 4.1.1 phone?,0.269534172,0.517518545,0.734010425,0.232581231,0
Will there really be any war between India and Pakistan over the Uri attack? What will be its effects?,0.160576609,Will there be a nuclear war between India and Pakistan?,0.258754714,0.098178105,0.795592763,0.527773987,1
Did Ronald Reagan have a mannerism in his speech?,0.5,How did Ronald Reagan react to 9/11?,0.5,0,0.734628934,0.639244548,0
What were the war strategies of the Union and the Confederates during the Civil War?,0.231630435,How could the Confederates have possibly defeated Union forces at Gettysburg during the American Civil War?,0.098929588,0.132700847,0.906217403,0.596647385,0
Which is the best fiction novel of 2016?,0.995459307,Which are some of the best fiction novels?,0.947076023,0.048383284,0.865608152,0.901466727,0
Can I recover my email if I forgot the password?,0.5,What should I do if I forgot my email password?,0.259021277,0.240978723,0.944438891,0.848727835,1
Will the recent demonetisation results in higher GDP? If so how much?,0.5,How demonetisation could affect the GDP of India in both short run and long run?,0.5,0,0.741979372,0.363499511,0
Have you ever heard of travel hacking?,0.5,Can WhatsApp be hacked?,0.5,0,0.555337418,0.323052527,0
What's the difference between love and pity?,0.245404139,What is the difference between love and pity?,0.234810011,0.010594128,0.998292597,1,1
How competitive is the hiring process at Republic Bank?,0.802776776,How competitive is the hiring process at S & T Bank?,0.800911847,0.001864929,0.899357686,0.841210867,0
How Google helps in spam ranking adjustment of the search results?,0.93052612,"What is the distribution of traffic between Google organic search results? e.g. #1 vs. #2 in rankings, first page vs. second page",0.5,0.43052612,0.687193961,0.31710269,0
Where can I watch gonulcelen with english subtitles?,0.5,Where can I watch sarrainodu with subtitles?,0.5,0,0.96536472,0.400891236,0
Is USA the most powerful country of the world?,0.901565691,Why is the USA the most powerful country of the world?,0.851163914,0.050401777,0.966612831,1,0
How do you obtain an instant ulcer pain relief?,0.055397804,What is better for a low back pain: heat or ice?,0.085832793,0.030434989,0.635878108,0.151038531,0
What do you think China food?,0.5,How do you think of Chinese food?,0.5,0,0.977378379,0.609706206,1
What does taking advantage of someone mean?,0.695301634,Is it worse to take advantage of someone or be materialistic?,0.084083942,0.611217692,0.859352539,0.531240935,0
Why do we cry when we are happy and when we are sad?,0.025140845,Why do we cry?,0.027191852,0.002051007,0.845994329,0.600258845,0
Why do some girls like to stick their their tongues out when taking pictures?,0.5,Why do teen girls (and women in general) allow their boyfriends to take naked pictures of them in this day and (digital) age?,0.830677662,0.330677662,0.78828968,0.260924799,0
"Did you find the ending of the novel ""1984"" depressing?",0.091064293,"How do Winston and Julia differ in the novel ""1984""? How are they similar?",0.893620897,0.802556604,0.698120672,0.456668372,0
What are some mind-blowing computer tools that exist that most people don't know about?,0.220918237,What are some mind-blowing technologies that exist that most people don't know about?,0.220918237,0,0.969356302,0.764363324,0
Should the toothbrush be wet or dry before applying the toothpaste?,0.5,What is the cheapest toothpaste?,0.5,0,0.561795173,0.38951622,0
Why my question was marked as needing imrovement?,0.5,How can I ask a question without getting marked as ‘need to improve’?,0.5,0,0.821009395,0.434888519,1
What is the difference between a neutral state and a buffer state?,0.5,"If every state of the USA declared war against each other, which would win?",0.759653799,0.259653799,0.358187625,0.243705707,0
What mineral holds the highest electrical charge?,0.5,What mineral can hold the greatest electrical charge?,0.893427834,0.393427834,0.901590592,0.79539483,1
What is the greatest mystery in the universe?,0.95584294,What is the greatest mystery of all time?,0.953760669,0.002082271,0.887361288,0.832279252,0
What is the alternative to machine learning?,0.5,How do I over-sample a multi-class imbalance data set?,0.5,0,0.659206588,0,0
"Why does China block sanctions at the UN against the Jaish-e-Mohammad (JeM) chief, Masood Azhar?",0.062117448,Why does China support Masood Azhar?,0.768580796,0.706463348,0.82473185,0.475862911,1
What is the mean of future budget?,0.5,What is the meaning of the future?,0.5,0,0.689474387,0.721935235,0
Can excessive amounts of Vitamin C cause me to have a miscarriage?,0.779449783,How can Vitamin C cause a miscarriage?,0.204686429,0.574763354,0.834667365,0.795795434,1
What is it like to work in Asahi India Glass? What will be the pay scale after one or two years?,0.186157016,When will we get the Call Letter after we get the Letter of Intent in Asahi India Glass recruitment?,0.86890942,0.682752404,0.767102177,0.455263386,0
How do I access Torbox in India?,0.5,How do I access Google.com from India?,0.5,0,0.996450999,0.389008505,0
What are some yakshini mantras?,0.5,What is a Yantra & Mantra?,0.5,0,0.68350165,0.388014546,0
Was six party talks successful?,0.886777934,Which course is better in NICMAR?,0.968826849,0.082048915,0.328821891,0,0
How do I register my domain site email?,0.5,How do you register a .an domain?,0.5,0,0.881191164,0.780384325,0
Is it normal for older men to be attracted to young women?,0.866938824,Why am I attracted to older men?,0.73587082,0.131068004,0.865339947,0.716386028,0
What is the strongest structure or strongest shape under compression?,0.974553468,What is the strongest Kevlar cord?,0.909945922,0.064607546,0.611250598,0.32126779,0
Who are the Rohingya Muslims?,0.5,Who are the Rohingya people?,0.5,0,0.927850619,0.802495329,1
Does it matter whether humans are selfish or evil?,0.818719897,Does it matter whether humanity is evil or not?,0.792148835,0.026571062,0.892669813,0.839605164,1
Are exocytosis and endocytosis examples of active or passive transport?,0.969761515,What are examples of passive transport in cells?,0.811058138,0.158703377,0.636005093,0.522174555,0
How i get hair on bald head?,0.5,"If I shave my head for 2 years as am getting bald and then grew my hair, will the hair will be same as when I intially have? Or I loose more hair?",0.206191198,0.293808802,0.816261788,0.614678281,0
What is the ideal life after retirement?,0.877564983,What's life after retirement?,0.5,0.377564983,0.942118826,0.762872269,0
What is our stance against Pakistan?,0.5,What is the stance of Pakistan in the possession of weapons of mass destruction by North korea? Does it support DPRK or is it against DPRK?,0.124317806,0.375682194,0.712578723,0.33698937,0
What are good websites for escorts?,0.831445413,How do I find a good escort?,0.752952773,0.07849264,0.648206343,0.770069463,0
Which one is better polo diesel or grand i10 petrol?,0.990232074,What is the best diet for a growing decathlete?,0.953615902,0.036616172,0.310695734,0,0
Does a black hole have mass?,0.5,Does a black hole have a finite mass?,0.5,0,0.938864878,0.764728898,1
"Is Morgan Freeman correct when he says the only way to stop racism, is to stop talking about it?",0.790717613,What are your views about this Morgan Freeman quote about Racism?,0.946288162,0.155570549,0.806696708,0.640446031,1
Does Fab currently offer new employees stock options or RSUs?,0.5,Does Uber currently offer new employees stock options or RSUs?,0.5,0,0.930328347,0.77339104,0
How would you review the site Waveclues?,0.5,Is there a good pay for reviews site out there?,0.795147977,0.295147977,0.588261108,0.418589754,0
In how many ways can we distribute 10 identical looking pencils to 4 students so that each student gets at least one pencil?,0.5,In how many ways 12 apples can be distributed among 4 children such that every child gets at least 2 apples?,0.5,0,0.706045824,0.262472355,0
How much would it cost to hire Jerry Seinfeld for 1-2 hours?,0.5,How much on average would it cost to video tape a 2 hour presentation?,0.5,0,0.670215103,0.310585468,0
Is 7 days too late for rabies vaccine after a possible non-bite exposure?,0.153841195,Can I take rabies injection after 1 day of dog bite?,0.5,0.346158805,0.725358465,0.460775313,0
How many years Britain ruled India?,0.5,What is the standard amount of time off given for an international relocation?,0.5,0,0.324666304,0,0
How can I stop being afraid of working?,0.028935003,How do you stop being afraid of everything?,0.033082162,0.004147159,0.926169131,0.695573191,0
Why does Red keep the keys in OITNB?,0.5,Why does Red keep the keys in season 4 of Orange is the New Black?,0.5,0,0.860884992,0.459240459,1
At what age should someone lose their virginity?,0.109886075,"At what age, how, and where did you lose your virginity?",0.104679195,0.00520688,0.921660906,0.917901385,0
How forgetful are you?,0.161838605,How can I forget my wife?,0.5,0.338161395,0.801960522,0.702906527,0
Could Snoke secretly be Darth Maul?,0.5,How could Snoke be Darth Plagueis if he was killed by Emperor Palpatine?,0.106730631,0.393269369,0.748282365,0.442356697,0
"If I do not monetize YouTube videos & upload copyright content, then are there chances that Google may block my account?",0.238527773,How do you upload movies on YouTube and monetize them? Is there any issue of copyright,0.199877825,0.038649948,0.938123504,0.596208909,1
Would you switch from Canon 6D to Leica D-LUX 109?,0.5,What tripod should I get for my Canon 6D?,0.716709275,0.216709275,0.695454036,0.417211836,0
What does the Quora website look like to members of Quora moderation?,0.5,How does Quora look to a moderator?,0.5,0,0.888375559,0.765428275,1
Why nobody answer my questions in Quora?,0.117727947,Why is no one answering my questions in Quora?,0.155634252,0.037906305,0.963496773,0.629284866,1
What is the funniest joke you know?,0.836878004,What is the funniest joke of all time?,0.868592906,0.031714902,0.931867024,0.834391628,1
"I got job offer @ Chelmsford-Essex, London with £3764 PM pay-after tax deduction. Pls advice tentative monthly expenses for couple? & saving possible?",0.966137392,"If I am leaving Norway, can I pay down my mortgage with my BSU account, and then sell my apartment without having to pay back the tax deduction I got for having BSU?",0.008717901,0.957419491,0.687431417,0.173058995,0
What are stereotypes about the United Kingdom?,0.944113393,What do Americans think about the United Kingdom?,0.96812359,0.024010197,0.89248331,0.615215348,0
How do I use Twitter as a business source?,0.5,How can I use Twitter for business?,0.5,0,0.9741045,0.799046271,1
How can I transfer money from Skrill to a PayPal account?,0.5,How can I send money from my PayPal account to my Skrill account to withdraw?,0.5,0,0.84129479,0.767600039,0
Which is the best earphone with deep bass under 1000?,0.912648217,Which is the Best earphones under Rs 1000?,0.901928743,0.010719474,0.621753721,0.566840465,1
Are government employees eligible to Sukanya Samrudi Yojana?,0.5,Can a Government employee apply IEC?,0.5,0,0.542723166,0.182361261,0
Which is correct - 'Looking forward to speak with you' or 'Look forward to speak with you'?,0.881131704,"Which is correct: ""speak with"" or ""speak to""?",0.5,0.381131704,0.852202548,0.587762353,0
Which are the best engineering fields?,0.959902245,What is the best field of engineering?,0.936417247,0.023484998,0.879082939,1,1
How do you make life suit you and stop life from abusing you mentally and emotionally?,0.029528352,"Why are emotionally abusive people in my life? Several ex boyfriends, friends, and past coworkers/bosses have been abusers. Do I attract them?",0.146867815,0.117339463,0.777448401,0.411230134,0
What is the difference between gross salary and CTC?,0.177693224,"There seems to be a difference between my weekly paycheck and the yearly salary my employer agreed upon, how does that work?",0.792545887,0.614852663,0.675308715,0.175702567,0
Which are the prospering towns in Kerala?,0.5,Why are there so many Christians in Kerala?,0.291465551,0.208534449,0.677482494,0.316901526,0
What is the best way to gain confidence?,0.979918739,How can I speak with more clarity and confidence?,0.916110131,0.063808608,0.80468218,0.328682141,0
Does anyone see the relation between Greek gods and Hindu gods?,0.5,"What parallelism can we draw between gods of Hindu mythology, Greek mythology, Egyptian mythology, etc.?",0.5,0,0.855359124,0.306823549,1
How do I switch from Apple Music to Spotify?,0.5,Should I switch from Spotify to Apple Music?,0.5,0,0.961765928,1,0
Which is the best fixed income fund?,0.900457612,What is the best fixed income fund?,0.906905036,0.006447424,0.973656003,1,1
What is it like to live in Cologne?,0.5,"What is it like to live in Köln, Germany? ",0.5,0,0.869238322,0.264411107,1
"Between Robert De Niro and Al Pacino, who is more successful?",0.5,"Who do you regard as the best actor, Robert De Niro or Al Pacino?",0.888332798,0.388332798,0.896946032,0.861252326,0
Why does some people prefer small families.?,0.172331094,Why do some people prefer to live with small family?,0.215193437,0.042862343,0.971983177,0.916643471,1
Do animals kiss?,0.5,Do animals (besides humans) kiss?,0.5,0,0.937953371,0.708657767,1
How do you get deleted Instagram chats?,0.223201297,How can I view deleted Instagram dms?,0.5,0.276798703,0.757263725,0.395815454,1
How can I stop being addicted to love?,0.156150746,How do I stop being addicted to someone?,0.047414592,0.108736154,0.940930183,0.734488628,0
What if I hired two private eyes and ordered them to follow each other?,0.911926504,Would I be able to hire two private investigators and then get them to follow each other?,0.858968301,0.052958203,0.833583079,0.591305462,1
How do I find a startup accelerator?,0.5,How do startup accelerators give you the funding?,0.737863815,0.237863815,0.861861565,0.682298398,0
How can I check wifi history and access it through android phones?,0.5,I cannot open Quora through my WiFi router. Why can I only access it through a mobile network?,0.145374358,0.354625642,0.810554514,0.385170595,0
"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Rostov?",0.084227895,"What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Riyadh?",0.084227895,0,0.93678511,0.857688169,1
What is the most creative college admissions essay you've read?,0.917871021,Has any college admission officer cried in public while reading an applicant's essay?,0.036837778,0.881033243,0.782659909,0.562791406,0
"What would happen if you cover one of your eyes with an eye patch for one year, then take the patch off?",0.5,What happens if eye medicine enters the eye?,0.5,0,0.73935869,0.418231942,0
Is it possible to pursue many different things in life?,0.5,How do I refuse to chose between different things to do in my life?,0.160411675,0.339588325,0.798930983,0.335420469,1
Did Ben Affleck shine more than Christian Bale as Batman?,0.845101067,"No fanboys please, but who was the true batman, Christian Bale or Ben Affleck?",0.25869114,0.586409927,0.892846663,0.720104445,1
Which business is good start up in Hyderabad?,0.836185292,Which business is better to start in Hyderabad?,0.94870249,0.112517198,0.940310406,0.826712536,1
How can I stop being so possessive?,0.090386761,How do I stop being over possessive for a person whom I love?,0.084029338,0.006357423,0.843401269,0.765757174,1
Who was the wife of Lord Krishna?,0.5,Who is the father of lord Krishna?,0.5,0,0.963372656,0.724964673,0
What is the best combination of courses I can take up along with CA to enhance my career?,0.981759444,What courses must be taken along with CA course?,0.5,0.481759444,0.80723996,0.505583674,1
How do you take a screenshot on a Mac laptop?,0.5,How do I take a screenshot on my MacBook Pro? What are some instructions?,0.5,0,0.85680538,0.43411844,1
What is the work of an executive recruiter like?,0.814563667,What is it like to work with an executive recruiter?,0.874342459,0.059778792,0.993807692,1,0
Which psychological need does 'collecting' fulfill?,0.5,Why do people collect things?,0.082234018,0.417765982,0.764704614,0.402609564,0
What are some must watch TV shows before you die?,0.5,Are there any must watch TV shows?,0.5,0,0.890093721,0.89806624,1
How can I become more fluent in Chinese?,0.5,How can I become fluent in chinese?,0.5,0,0.988169333,1,1
What are the effects of demonitization of 500 and 1000 rupees notes on real estate sector?,0.5,What will be the impact of scrapping of ₹500 and ₹1000 rupee notes on the real estate market?,0.5,0,0.862037754,0.554644562,1
What is the easiest way to become a billionaire($)?,0.867093922,What is the best way to become a billionaire?,0.945791953,0.078698031,0.915726068,0.798890637,1
